16434,22-Jun-85,-1,1 hr. 40 min.,1,2,"Drama , Military , Seinen","None found, add some",318,#9266,-1,"None found, add some",#3705,PG-13 - Teens 13 or older,6.93,Unknown,Finished Airing,"None found, add some",Penguin's Memory: Shiawase Monogatari,Movie,76
16436,12-May-13,-1,5 min.,1,4,"Comedy , Ecchi , Shoujo Ai , Shounen","None found, add some","7,346",#3674,-1,"AIC , Flex Comics , G-mode",#8513,R - 17+ (violence & profanity),3.85,Web manga,Finished Airing,AIC Frontier,Tenshi no Drop (Angel's Drop),Special,"4,632"
16442,16-Mar-13,-1,1 hr. 11 min.,1,3,"Action , Kids , Magic , Shoujo","None found, add some","2,178",#5914,-1,Kinoshita Group Holdings,#2374,G - All Ages,7.29,Original,Finished Airing,Toei Animation,Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,Movie,966
16444,20-Jul-13,-1,23 min.,1,59,"Fantasy , Supernatural",Sentai Filmworks,"49,096",#1297,-1,"None found, add some",#1998,PG-13 - Teens 13 or older,7.39,Light novel,Finished Airing,Diomedea,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,OVA,"29,225"
16454,"Jun 1, 1999 to Jul 2, 1999",Unknown,7 min. per ep.,20,0,"Comedy , Ecchi , School","None found, add some",166,#10348,Summer 1999,"None found, add some",#11078,R+ - Mild Nudity,6.17,Unknown,Finished Airing,"None found, add some",Surf Side High-School,TV,12
16458,30-Jun-90,-1,1 hr. 50 min.,1,0,"Drama , Historical , Shoujo , Slice of Life","None found, add some",152,#10510,-1,Bandai Visual,#10566,G - All Ages,6.53,Unknown,Finished Airing,Nippon Animation,Perrine Monogatari Movie,Movie,19
16460,"Jan 28, 2001 to 2001",-1,45 min. per ep.,2,0,"Drama , Historical , Kids , Shoujo , Slice of Life","None found, add some",133,#10786,-1,BS Fuji,#10567,G - All Ages,6.44,Unknown,Finished Airing,Nippon Animation,Perrine Monogatari Specials,Special,18
16468,"Dec 23, 2012 to Dec 30, 2012",-1,5 min. per ep.,2,15,"Action , Adventure , Fantasy , Comedy , Super Power , Shounen","None found, add some","14,446",#2735,-1,NOTTV,#2186,PG-13 - Teens 13 or older,7.34,Manga,Finished Airing,Toei Animation,One Piece: Glorious Island,Special,"7,147"
16469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
16472,22-Feb-13,-1,31 min.,1,67,Hentai,"None found, add some","5,037",#4292,-1,Pink Pineapple,N/A,Rx - Hentai,7.16,Visual novel,Finished Airing,Seven,Sei Yariman Gakuen Enkou Nikki The Animation,OVA,"2,208"
16474,"Feb 22, 2013 to May 31, 2013",-1,28 min. per ep.,2,34,Hentai,"None found, add some","3,655",#4862,-1,Pink Pineapple,N/A,Rx - Hentai,7.27,Manga,Finished Airing,T-Rex,Soushisouai Note The Animation,OVA,"1,481"
16476,13-Feb-13,-1,19 min.,1,1,Hentai,"None found, add some","1,638",#6476,-1,"None found, add some",N/A,Rx - Hentai,5.84,Original,Finished Airing,"None found, add some",Idol Kouhosei,OVA,597
16478,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1
16480,15-Jul-00,-1,50 min.,1,0,"Adventure , Comedy , Fantasy","None found, add some",110,#11237,-1,"None found, add some",#10426,None,4.83,Unknown,Finished Airing,Studio Gallop,Ojarumaru Yakusoku no Natsu Ojaru to Semira Movie,Movie,18
16482,03-May-07,-1,50 min.,1,0,"Adventure , Comedy , Fantasy , Kids , Slice of Life","None found, add some",97,#11530,-1,"None found, add some",#10428,G - All Ages,5.33,Unknown,Finished Airing,Studio Gallop,Ojarumaru: Mangetsu Road Kiki Ippatsu - Tama ni wa Maro mo Daibouken,Special,12
16486,"Apr 14, 1979 to Sep 29, 1979",Unknown,25 min. per ep.,23,0,Sports,"None found, add some",166,#10347,Spring 1979,"Tokyo Movie Shinsha , Yomiuri Telecasting Corporation",#10859,G - All Ages,6.79,Unknown,Finished Airing,"None found, add some",Shin Kyojin no Hoshi II,TV,24
16490,26-Jul-78,-1,1 hr. 6 min.,1,0,Mecha,"None found, add some",113,#11178,-1,"None found, add some",#10702,None,4.79,Unknown,Finished Airing,"None found, add some",Robot Taekwon V wa Hwanggeum Nalgae,Movie,19
16498,"Apr 7, 2013 to Sep 29, 2013",Sundays at 01:58 (JST),24 min. per ep.,25,"53,466","Action , Drama , Fantasy , Shounen , Super Power",FUNimation Entertainment,"1,056,647",#2,Spring 2013,"Production I.G , Dentsu , Mainichi Broadcasting System , Pony Canyon , Kodansha , Mad Box , Shingeki no Kyojin Team , Pony Canyon Enterprise",#95,R - 17+ (violence & profanity),8.52,Manga,Finished Airing,Wit Studio,Shingeki no Kyojin (Attack on Titan),TV,"742,701"
16506,1980,-1,20 min.,1,1,Music,"None found, add some",220,#9854,-1,Shanghai Animation Film Studio,#7020,G - All Ages,5.93,Unknown,Finished Airing,"None found, add some",Three Monks,Movie,78
16508,"Nov 30, 2012 to Mar 29, 2013",-1,4 min. per ep.,5,0,"Comedy , Ecchi , Parody , School , Shounen","None found, add some","3,014",#5230,-1,AIC,#6513,R+ - Mild Nudity,6.16,Manga,Finished Airing,"None found, add some",Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,Special,"1,283"
16510,"Sep 12, 1997 to Sep 11, 1998",-1,43 min. per ep.,2,0,Adventure,"None found, add some",143,#10632,-1,"None found, add some",#10865,R - 17+ (violence & profanity),5.72,Manga,Finished Airing,"None found, add some",Shin Shounan Bakusouzoku Arakure Knight,OVA,18
