ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,ScoredBy,Source,Status,Studios,Title,Type
27677,28-May-04,5 min.,1,"Action, Parody, Military, Sci-Fi",9434,6766,PG-13 - Teens 13 or older,6.06,68,Unknown,Finished Airing,"None found, add some",Stratos 4 OVA: Stratos 4.1 - Dutch Roll,Special
27681,"Apr 7, 1992 to Jun 30, 1992",25 min. per ep.,13,"Slice of Life, Comedy",12037,10780,PG-13 - Teens 13 or older,6.63,8,Manga,Finished Airing,Shin-Ei Animation,Sasurai-kun,TV
27683,7-Jul-12,20 min.,1,"Comedy, Kids, Fantasy",11695,11011,PG - Children,5.71,14,Picture book,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol,Movie
27687,"Oct 6, 2014 to Dec 8, 2014",5 min. per ep.,10,"Comedy, Kids",9049,7800,G - All Ages,5.43,146,Music,Finished Airing,Kinema Citrus,Oshiri Kajiri Mushi (TV) 3rd Season (Bottom Biting Bug 3),TV
27693,"Oct 3, 1986 to Mar 26, 1988",3 min. per ep.,77,"Romance, Seinen",9980,9345,PG-13 - Teens 13 or older,6,17,Unknown,Finished Airing,"None found, add some",Heart Cocktail,TV
27709,25-Jul-15,24 min.,1,"Comedy, School, Seinen, Slice of Life",6174,3990,PG-13 - Teens 13 or older,6.85,652,4-koma manga,Finished Airing,Studio Gokumi,Saki Biyori Animation,OVA
27721,"Oct 13, 2001 to Apr 6, 2002",25 min. per ep.,26,"Fantasy, Kids",9529,5494,G - All Ages,6.47,50,Unknown,Finished Airing,OLM,Kasumin (Mistin),TV
27723,"Oct 5, 2002 to Apr 5, 2003",25 min. per ep.,26,"Kids, Fantasy",11083,9732,G - All Ages,5.81,16,Unknown,Finished Airing,OLM,Kasumin 2nd Season,TV
27727,"Jan 7, 2015 to Mar 25, 2015",24 min. per ep.,12,"Slice of Life, Comedy, Magic, School",1274,3137,PG-13 - Teens 13 or older,7.08,18813,Original,Finished Airing,Diomedea,Binan Koukou Chikyuu Bouei-bu LOVE!,TV
27737,"Apr 1, 2015 to Mar 30, 2016",22 min. per ep.,51,"Action, Kids",6089,3585,PG - Children,6.96,417,Card game,Finished Airing,Bandai Namco Pictures,Battle Spirits: Burning Soul,TV
27741,"Jan 10, 2015 to Apr 4, 2015",23 min. per ep.,13,"Music, Slice of Life, Shoujo",4644,4733,PG-13 - Teens 13 or older,6.67,1304,Novel,Finished Airing,Zexcs,Shounen Hollywood: Holly Stage for 50,TV
27747,7-Nov-14,25 min.,1,Hentai,6610,/A,Rx - Hentai,6.29,453,Visual novel,Finished Airing,"None found, add some",Jokei Kazoku III: Himitsu - The Anime,OVA
27757,"Aug 26, 2013 to Jan 13, 2014",5 min. per ep.,13,"Slice of Life, Comedy, Romance",9797,7232,PG-13 - Teens 13 or older,5.81,86,Unknown,Finished Airing,"TMS Entertainment,       DLE",Anisava,TV
27775,"Apr 5, 2015 to Jun 28, 2015",24 min. per ep.,13,"Sci-Fi, Drama, Romance",174,575,PG-13 - Teens 13 or older,7.97,131393,Original,Finished Airing,Doga Kobo,Plastic Memories,TV
27783,2017 to ?,Unknown,Unknown,Seinen,3693,/A,None,N/A<,0,Manga,Not yet aired,DLE,Sword Gai (TV),TV
27785,"Jan 5, 2015 to Mar 30, 2015",2 min. per ep.,13,"Action, Comedy, Mecha",7346,7865,G - All Ages,5.36,354,Original,Finished Airing,ILCA,Doamaiger D (Doamayger-D),TV
27787,"Apr 10, 2015 to Jun 26, 2015",24 min. per ep.,12,"Comedy, Harem, Romance, School, Shounen",252,1570,PG-13 - Teens 13 or older,7.5,129424,Manga,Finished Airing,Shaft,Nisekoi: (Nisekoi: False Love),TV
27789,1-Oct-14,3 min.,1,"Slice of Life, Fantasy, Music, Drama",8347,6772,PG-13 - Teens 13 or older,6.06,332,Music,Finished Airing,"None found, add some",Yodaka no Hoshi (Music),Mu
